eurostat,gdp,gdp_per_capita
AT,455140042000,51448
AT1,196403023200,50858
AT11,10626478200,36226
AT12,72004402400,43070
AT13,113772130800,60180
AT2,83173633400,46138
AT21,24641491600,43896
AT22,58532130000,47200
AT3,175400958400,55224
AT31,77702587000,52628
AT32,34272274000,61832
AT33,40914659200,54398
AT34,22511450000,57230
BE,542587364000,47436
BE1,99104176200,81892
BE10,99104176200,81892
BE2,318465491800,48380
BE21,103857983200,55932
BE22,33874614000,38704
BE23,66569416800,44014
BE24,58802279200,51448
BE25,55361198600,46374
BE3,124719698800,34220
BE31,22772831800,56522
BE32,40402114400,30090
BE33,37333961000,33630
BE34,8326339600,29146
BE35,15884452000,31978
BG,66182565600,9440
BG3,24723832000,7080
BG31,4630143000,6136
BG32,5075439600,6372
BG33,7027265800,7552
BG34,7990983600,7670
BG4,41458733600,11800
BG41,32086088000,15222
BG42,9372633800,6608
CY,24942615800,28674
CY0,24942615800,28674
CY00,24942615800,28674
CZ,244932977600,23010
CZ0,244932977600,23010
CZ01,63262278000,48616
CZ02,28394741200,20886
CZ03,24262499200,19824
CZ031,,19824
CZ032,,19824
CZ04,17951328200,16048
CZ041,,16048
CZ042,,16048
CZ05,29089489800,19234
CZ051,,19234
CZ052,,19234
CZ053,,19234
CZ06,35969090400,21240
CZ063,,21240
CZ064,,21240
CZ07,22827170800,18762
CZ071,,18762
CZ072,,18762
CZ08,23176380000,19234
DE,3946356600000,47554
DE1,595045798000,53926
DE11,251766747000,60888
DE12,145496537000,51920
DE13,102493785200,45312
DE14,95288728800,51448
DE2,728232551400,55814
DE21,322960654600,69148
DE22,57189691200,46374
DE23,55782600200,50386
DE24,47901887600,44840
DE25,92804014600,52628
DE26,63353763400,48144
DE27,88239963400,46964
DE3,171923746200,47318
DE30,171923746200,47318
DE4,85989491000,34338
DE40,85989491000,34338
DE5,39774979800,58292
DE50,39774979800,58292
DE6,140473796200,76464
DE60,140473796200,76464
DE7,341071459800,54516
DE71,245101210200,61478
DE72,42391039800,40474
DE73,53579198000,43896
DE8,52451200600,32568
DE80,52451200600,32568
DE9,345188361800,43306
DE91,83464822000,52274
DE92,97648646200,45430
DE93,57156379800,33394
DE94,106918525600,42362
DEA,822544783000,45902
DEA1,254492783000,48970
DEA2,225126736600,50504
DEA3,103973127600,39648
DEA4,91731784000,44604
DEA5,147220375400,41064
DEB,173484355200,42480
DEB1,61083561400,40828
DEB2,19766180000,37288
DEB3,92634602000,45076
DEC,41828415800,42126
DEC0,41828415800,42126
DED,147027598800,35990
DED2,58534254000,36580
DED4,48967451200,33984
DED5,39525881800,37996
DEE,73969539000,33394
DEE0,73969539000,33394
DEF,113166000200,39058
DEF0,113166000200,39058
DEG,74184806400,34574
DEG0,74184806400,34574
DK,355582262000,61360
DK0,351457902400,60652
DK01,144247754800,78824
DK02,35285846800,42244
DK03,67674935200,55342
DK04,73446362400,55814
DK05,30803003200,52274
EE,30722303000,23246
EE0,30722303000,23246
EE00,30722303000,23246
EL,217962048000,20296
EL3,103106205200,27494
EL30,103106205200,27494
EL4,21620396600,18172
EL41,3008174000,13924
EL42,7537002200,22066
EL43,11075220400,17464
ES,1418587740000,30326
ES1,117660183600,27376
ES11,73832623600,27376
ES12,27542014200,26904
ES13,16285557600,28084
ES2,162843799600,36580
ES21,85160800600,39176
ES22,23932854400,37052
ES23,10045151200,32096
ES24,43705005200,33276
ES3,272337746000,41300
ES30,272337746000,41300
ES4,140772890800,25606
ES41,68352385000,28320
ES42,48787548400,24072
ES43,23632957400,22184
ES5,439198820200,32214
ES51,269844712800,35872
ES52,130954630000,26432
ES53,38399477400,32686
ES6,230522074200,22892
ES61,189534373000,22538
ES62,37120369200,25134
ES63,2017115600,23718
ES64,1850216400,21830
ES7,53949647200,24662
ES70,53949647200,24662
FI,276654540000,50150
FI1,274971494200,50150
FI19,61276432400,44368
FI1B,107664214800,64664
FI1C,51775355600,44840
FI1D,54255491400,42126
FI2,1610605600,54280
FI20,1610605600,54280
FR,2776646200000,41300
FR1,865972205000,70446
FR10,865972205000,70446
HR,60917594400,14868
