eurostat,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_over
BE,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969
BE1,166786,139449,181599,200391,172776,140792,99336,64745,49416
BE10,166786,139449,181599,200391,172776,140792,99336,64745,49416
BE100,166786,139449,181599,200391,172776,140792,99336,64745,49416
BE2,709052,712309,782847,829503,854499,950163,792681,558231,406948
BE21,211747,202668,226665,243511,237425,263345,215869,150416,108824
BE211,126251,116549,133739,141962,132703,141272,116262,82569,61726
BE212,37482,37708,40666,43650,44532,50164,40907,28618,21253
BE213,48014,48411,52260,57899,60190,71909,58700,39229,25845
BE22,89236,91118,99256,110050,114564,133738,113864,74140,49876
BE221,43765,45006,49292,55131,57119,63561,54858,36124,24848
BE222,24892,25252,27577,29857,30471,38513,31899,20026,13362
BE223,20579,20860,22387,25062,26974,31664,27107,17990,11666
BE23,162794,164054,184177,195636,201783,214782,175716,124741,92600
BE231,30920,31354,31889,36098,39745,43346,35304,24324,18371
BE232,21084,22003,22709,25043,26946,29767,24776,17042,11929
BE233,8419,8942,9707,10109,11471,12565,10462,7745,5958
BE234,60269,58598,76245,78025,73551,75311,61202,43828,33661
BE235,13292,14207,13766,14924,16751,18390,14781,10061,8230
BE236,28810,28950,29861,31437,33319,35403,29191,21741,14451
BE24,127630,132978,134858,141357,152846,164360,132632,91486,68496
BE241,75295,78169,72083,77067,85951,91149,71765,49297,37254
BE242,52335,54809,62775,64290,66895,73211,60867,42189,31242
BE25,117645,121491,137891,138949,147881,173938,154600,117448,87152
BE251,24853,27227,31716,31057,35086,42192,38872,29848,21669
BE252,5767,5418,6139,6514,6332,7505,5995,4255,3635
BE253,11229,11884,12511,12553,13262,15222,12938,9503,7449
BE254,31699,30859,35287,36031,36286,41396,34238,25615,19519
BE255,13713,14431,16480,16668,18358,23320,23657,18019,12647
BE256,16261,16347,18929,19347,19938,21543,17163,13428,10438
BE257,9723,10217,10937,11500,12278,13506,10720,7793,6366
BE258,4400,5108,5892,5279,6341,9254,11017,8987,5429
BE3,406923,436549,452421,458670,481627,503301,434018,279882,190605
BE31,43945,50100,49170,47837,54499,56873,47430,32883,21533
