key,wikidata,datacommons,place_id
AL_08,Q193436,null,ChIJa9mUpFfpURMRu2dDDEepESw
AR_E_063,Q239594,null,ChIJ5Zrp1NX2upUR6jB1mbSqqC0
AR_T_063,Q597806,null,ChIJ9cRRcNpAIpQRSkbul6WiSfE
AR_U_105,Q290328,null,ChIJmUHoH7bo_5UR6Y8NlD7pS38
BI_BL,Q645043,null,ChIJS0RSZA-DwRkRH2JqXi6RdSc
BR_AC_120050,Q1754389,null,ChIJ2SQY30txgpERYH6SHSJqc7M
BR_AL_270160,Q1796020,null,ChIJJXldmoWMCAcREHiy5tG8tRc
BR_AL_270240,Q1808849,null,ChIJQzxipoMnCQcRYscctw92H1k
BR_BA_290460,Q1808298,null,ChIJS61g7MJLRAcRKWrPw9_A1rs
BR_BA_293250,Q22060576,null,ChIJxTZT21XDOQcRjRgo7UcjgnI
BR_BA_293330,Q22062839,null,ChIJBeQlMAc7RgcR4yrZK0VFvng
BR_GO_520390,Q779122,null,ChIJ_V9Km1cfoZQRngVB2vdnqdc
BR_GO_520725,Q1793418,null,ChIJe1KzdFGkZJMRstaqYtoKnbQ
BR_GO_521483,Q549144,null,ChIJwysnPTf1aZMRRN2u3JmsDEA
BR_MA_210610,Q2103736,null,ChIJxxjfQWUo1ZIRceG1qRy4Wao
BR_MA_210910,Q637452,null,ChIJlwBWAn9biAcRE2ibsLithrI
BR_MG_312320,Q1757114,null,ChIJ1-RwAKr4spQRNptHjo5_5pw
BR_MG_315250,Q949798,null,ChIJV24Pax7Hy5QRUteNDX8V7L0
BR_MG_315350,Q443518,null,ChIJ5S8zzy4GuwARfV_nrLc_fDQ
BR_MG_315980,Q22065178,null,ChIJ80J5x71Qn5QR7Or57RJuq0o
BR_MG_316670,Q543282,null,ChIJoUH3W-xItQARNLvXbndDjJw
BR_MG_316960,Q1787184,null,ChIJF__BB-qqppQRSyhdvAMRiKM
BR_MG_317130,Q1780182,null,ChIJq0vk0ZRnowAR9a5aPa0gm5Q
BR_PA_150510,Q577167,null,ChIJ-b2kz1gPgI0R65xSjY7RLzM
BR_PA_150797,Q2003795,null,ChIJf-Fcx3PFfJIR77EmnPjaJvQ
BR_PB_250380,Q1808745,null,ChIJZ62reBVarAcRWO7gVBEJ02g
BR_PB_250420,Q1816295,null,ChIJaUmqXE3opQcRj7qp_qYkyqM
BR_PE_260220,Q2097751,null,ChIJsay7NMrqqwcRwnrcVItYfR0
BR_PR_411370,Q192387,null,ChIJbVivV1pD65QRcfkUxqURrCM
BR_RN_241100,Q1802371,null,ChIJ21vYiVUZuwcRVxdvQhPczeQ
