key,all,male,female,age_00_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_and_older
AD,114205,58625,55581,9370,12022,10727,12394,21001,20720,14433,8657,4881
AE,9315055,6651618,2663438,870683,786876,1841983,2722996,1907265,889205,225625,58028,12394
AF,30316366,16885592,13430774,8404240,7706599,5461114,3607808,2379338,1464078,834370,376098,82721
AG,96915,46550,50365,14866,15204,15534,13571,12402,13530,7304,2961,1544
AI,15122,7151,7971,2196,2146,2005,2081,2187,2214,1351,641,301
AL,2807601,1398500,1409101,323119,332447,447278,388292,351388,378505,321702,178556,86313
AM,2788727,1333386,1455341,371410,351143,388953,477628,334979,344352,308327,118254,93681
AO,36451106,17224135,19226971,11642031,8844588,6029123,4218526,2688029,1630711,949079,349500,99519
AQ,,,,,,,,,,,,
AR,45259538,21929251,23330286,7368579,7169523,6837210,6457628,5821426,4413065,3597892,2304590,1289624
AR_A,1378224,674283,703941,269344,267340,213081,189519,160775,115310,86207,51589,25059
AR_B,18036413,8737209,9299204,2885944,2727065,2698575,2581241,2379297,1796994,1483971,950699,532627
AR_B_014,12062,5918,6144,1797,1804,1301,1510,1703,1253,1270,890,533
AR_B_042,21129,10543,10586,3432,3033,2672,2668,2834,2167,2068,1376,879
AR_B_056,314282,150534,163748,41579,41561,51242,42639,41484,33172,29595,20714,12296
AR_B_063,45860,22485,23375,6484,6419,5780,5881,6274,5187,4902,3115,1818
AR_B_084,21216,10409,10807,3161,3173,2291,2656,2995,2205,2234,1565,937
AR_B_182,62122,30376,31746,10169,9244,8574,9245,7802,6265,5504,3232,2087
AR_B_189,15092,7462,7630,1932,2160,1699,1928,2121,1838,1657,1113,644
AR_B_203,39808,19166,20643,5151,5432,5008,5316,5831,4702,3792,2952,1624
AR_B_280,45044,21675,23369,7515,6673,5948,5730,6207,4720,3979,2544,1729
AR_B_322,10570,5274,5296,1615,1613,1261,1406,1385,1153,1067,704,365
AR_B_357,671438,317574,353864,90871,90824,92369,91263,92643,73177,64444,47458,28389
AR_B_448,10835,5407,5428,1656,1654,1293,1441,1420,1182,1094,722,374
AR_B_476,18333,8984,9349,2592,2567,2311,2351,2508,2072,1958,1246,728
AR_B_518,25097,12869,12228,3563,3493,3278,3090,3319,2779,2807,1980,788
AR_B_553,6839,3381,3457,875,979,770,874,961,833,751,504,292
AR_B_581,95888,44974,50913,13554,13554,12165,12357,13091,10458,9685,6825,4199
AR_B_602,35450,17291,18159,5367,5549,4713,4908,5197,3519,2957,2163,1077
AR_B_651,15043,7516,7527,2130,2282,1883,1984,2013,1635,1482,1070,564
AR_B_700,22100,10517,11583,3024,3058,2613,3079,3013,2492,1934,1880,1008
AR_B_742,8726,4280,4446,1300,1305,942,1092,1232,907,919,644,386
AR_B_791,144046,69419,74627,19662,19408,21674,19732,19849,15122,13789,8724,6087
AR_B_819,13830,6834,6997,1771,1977,1562,1769,1945,1683,1513,1020,590
AR_B_833,56228,27290,28938,8117,7902,6058,7420,8097,5492,6379,4291,2471
AR_B_840,346709,164160,182549,44060,43514,49778,50207,46024,39512,33580,25462,14572
AR_B_861,270561,125143,145418,28571,27069,36661,38406,37454,32167,31098,22828,16307
AR_B_875,35267,17619,17647,4996,5350,4417,4652,4720,3831,3473,2506,1322
AR_C,3027777,1384102,1643675,322659,296862,459247,470627,411129,341800,319523,233654,172275
AR_C_002,150597,68744,81853,15857,14563,22850,23456,20462,17046,15977,11709,8676
AR_C_006,175380,80056,95324,18466,16959,26611,27317,23830,19851,18606,13636,10104
